Name of Initiative,Organization Name,Location 1,State,Category,Unique ID,State Based
Maryland Total Cost of Care Model,"Charm City Healthcare, LLC","223 Eastern Blvd Essex, MD (39.30603, -76.481027)",MD,State & Community-Based Models,87,
Maryland Total Cost of Care Model,"S. Raguraj, M.D.","208 Plumtree Rd Ste C Belair, MD (39.501451, -76.330671)",MD,State & Community-Based Models,88,
Maryland Total Cost of Care Model,Johns Hopkins Community Physicians At Greater Dundalk,"2112 Dundalk Ave Baltimore, MD (39.264253, -76.52718)",MD,State & Community-Based Models,89,
Maryland Total Cost of Care Model,"Alon Davis, M.D., PA","100 Power St Salisbury, MD (38.340182, -75.599977)",MD,State & Community-Based Models,90,
Maryland Total Cost of Care Model,Doctors First Primary Care,"19785 Crystal Rock Dr Ste 209 Germantown, MD (39.180438, -77.261786)",MD,State & Community-Based Models,91,
Maryland Total Cost of Care Model,Drs. Edwards and Stephens,"1005 N Point Blvd Ste 724 Baltimore, MD (39.291048, -76.509115)",MD,State & Community-Based Models,92,
Maryland Total Cost of Care Model,"JH Ventures, LLC/ Scott Maurer, M.D.","2465 Route 97 Ste 10 Glenwood, MD (39.303133, -77.020622)",MD,State & Community-Based Models,93,
Maryland Total Cost of Care Model,"Vinu Ganti, M.D., P.C.","12800 Middlebrook Rd Ste 204 Germantown, MD (39.177355, -77.265069)",MD,State & Community-Based Models,94,
Maryland Total Cost of Care Model,Adventist Medical Group Germantown - Primary Care,"19735 Germantown Rd Suite 310 Germantown, MD (39.180065, -77.264564)",MD,State & Community-Based Models,95,
Maryland Total Cost of Care Model,Adventist Medical Group Montgomery Village - Primary Care,"6 Montgomery Village Ave Ste 402 Gaithersburg, MD (39.154109, -77.210061)",MD,State & Community-Based Models,96,
Maryland Total Cost of Care Model,Johns Hopkins Community Physicians at Water's Edge,"103 Bata Boulevard Suite A Belcamp, MD (39.469214, -76.235771)",MD,State & Community-Based Models,97,
Maryland Total Cost of Care Model,Adventist Medical Group Rockville- Primary Care,"9715 Medical Center Dr Ste 414 Rockville, MD (39.098355, -77.195573)",MD,State & Community-Based Models,98,
Maryland Total Cost of Care Model,Johns Hopkins Community Physicians at Frederick,"45 Thomas Johnson Dr Ste 109 Frederick, MD (39.454837, -77.401417)",MD,State & Community-Based Models,99,
Maryland Total Cost of Care Model,"Gurmeet S. Sawhney, M.D.","325 Hospital Dr Ste 202 Glen Burnie, MD (39.140261, -76.626499)",MD,State & Community-Based Models,100,
Maryland Total Cost of Care Model,Johns Hopkins Community Physicians at White Marsh,"4924 Campbell Blvd Ste 200 Nottingham, MD (39.373102, -76.460489)",MD,State & Community-Based Models,101,
Maryland Total Cost of Care Model,"Dennis H. Odie, M.D., PA","9106 Philadelphia Rd Ste 200 Baltimore, MD (39.347031, -76.472955)",MD,State & Community-Based Models,102,
